,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1403,CHEMBL2011189,O=C1c2cc(Br)ccc2OCC1c1ccccc1,inactive,303.155,3.8080000000000016,0.0,2.0,4.537600504536447
1404,CHEMBL2011190,CC(C)(C)c1ccc2c(c1)C(=O)C(c1ccccc1)CO2,inactive,280.3670000000001,4.343000000000004,0.0,2.0,4.214669453031649
1405,CHEMBL1077603,C[C@]12CC[C@H](O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,288.43100000000004,3.8792000000000035,1.0,2.0,6.737311655698304
1406,CHEMBL2058266,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4CCC[C@]35C)[C@@H]1CCC2=O,active,288.43100000000004,4.119600000000004,0.0,2.0,6.013183495414464
1409,CHEMBL2163638,CC(C)C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,active,295.38599999999997,2.9638000000000018,0.0,3.0,6.300943145452332
1410,CHEMBL2163639,O=C1CCc2cc(C(C3CC3)n3ccnc3)cc3c2N1CC3,active,293.37000000000006,2.7178000000000013,0.0,3.0,6.641874714723351
1411,CHEMBL2163646,COc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1,active,359.429,3.364700000000002,0.0,4.0,7.3655227298392685
1412,CHEMBL2163641,C=C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,active,265.316,2.2374,0.0,3.0,7.767003889607846
1413,CHEMBL2165325,O=C1CCc2cc(-c3cccnc3)cc(-c3ccsc3)c2N1,active,306.39000000000004,4.361800000000002,1.0,3.0,6.560509409610316
1414,CHEMBL2165324,O=C1CCc2cc(-c3cccnc3)cc(-c3cccnc3)c2N1,active,301.34900000000005,3.6953000000000022,1.0,3.0,6.0204061041510695
1415,CHEMBL2165323,O=C1CCc2cc(-c3cccnc3)cc(-c3ccccc3)c2N1,active,300.36100000000005,4.300300000000003,1.0,2.0,6.404393565134397
1417,CHEMBL2165321,CN1C(=O)CCc2cc(-c3cccnc3)c(OCc3ccccc3)cc21,active,344.41400000000004,4.236600000000004,0.0,3.0,7.954677021213342
1418,CHEMBL2165320,O=C1CCc2cc(-c3cccnc3)c(OCc3ccccc3)cc2N1,active,330.387,4.212300000000003,1.0,3.0,7.454692883534176
1419,CHEMBL2165319,CN1C(=O)CCc2cc(-c3cccnc3)c(OC3CCCC3)cc21,active,322.40800000000013,3.9790000000000036,0.0,3.0,7.655607726314889
1420,CHEMBL2165318,O=C1CCc2cc(-c3cccnc3)c(OC3CCCC3)cc2N1,active,308.38100000000003,3.9547000000000025,1.0,3.0,6.790216985151485
1421,CHEMBL2165317,CCOc1cc2c(cc1-c1cccnc1)CCC(=O)N2C,active,282.34299999999996,3.056300000000001,0.0,3.0,7.317854923626168
1422,CHEMBL2165316,CCOc1cc2c(cc1-c1cccnc1)CCC(=O)N2,active,268.3159999999999,3.032,1.0,3.0,6.311491192343479
1423,CHEMBL2165315,COc1cc2c(cc1-c1cccnc1)CCC(=O)N2C,active,268.316,2.666200000000001,0.0,3.0,7.308918507877031
1424,CHEMBL2165314,COc1cc2c(cc1-c1cccnc1)CCC(=O)N2,active,254.289,2.6418999999999997,1.0,3.0,6.349595330131968
1425,CHEMBL446083,CN1C(=O)CCc2cc(-c3cccnc3)ccc21,active,238.29000000000002,2.6576000000000004,0.0,2.0,6.370488465799546
1428,CHEMBL1200374,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,active,296.41,4.029500000000003,0.0,2.0,7.29929628285498
1429,CHEMBL2179114,C[C@]12C=CC(=O)C=C1[C@H](OCC#CCO)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,368.47300000000024,2.8542000000000014,1.0,4.0,7.696803942579511
